KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$flower18_species,,Bright Beacon,XX,Phare brillant,Faro Luminoso,Leuchtfeuer,Fanal brillante,Farol-brilhante,キラキラビーコン,,,,
$flower18_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Clara Pharus,XX,Clara Pharus,Clara Pharus,Clara Pharus,Clara Lucet,Clara Pharus,Clara Pharus,,,,
$flower18_hint,,An adjunct of Flava formed by the action of nearby Lesser Dreamers,XX,Un adjuvant de Flava créé grâce aux Petits rêveurs à proximité.,"Un'appendice del Flava, formata dall'azione delle Sognatrici Minori nelle vicinanze.","Ein Nebenprodukt von Flava, das durch die Wirkung von Kleinen Träumern in der Nähe entsteht",Una variante de Flava que se forma por acción de las soñadoras menores cercanas.,Uma parente da Flava formada pela ação de Sonhadoras-Inferiores na região.,アンチドリーマーの働きで受粉に成功する、アキノキリンソウの副産物。,,,,
$flower18_desc,,"As these flowers only develop in very specific, flourishing environments, the presence of Bright Beacon attracts all sorts of mesofauna. Researchers use this flower to encourage solitary bee populations and help study them.",XX,"Comme ces fleurs ne se développent que dans des environnements très spécifiques et florissants, la présence du Phare brillant attire toute sorte de petites espèces. Les chercheurs l'utilisent pour favoriser les populations d'abeilles solitaires afin de les étudier.","Dato che questi fiori sbocciano soltanto in ambienti molto specifici e rigogliosi, la presenza del Faro Luminoso attrae mesofauna di ogni tipo. I ricercatori usano questo fiore per favorire la popolazione delle api solitarie da poter studiare.","Da sich diese Blumen nur in ganz bestimmten, blühenden Umgebungen entwickeln, zieht die Anwesenheit von Hellen Leuchtfeuern alle möglichen Arten von Mesofauna an. Forscher nutzen diese Blume, um Solitärbienenpopulationen zu fördern und sie zu untersuchen.","Como estas flores se desarrollan en entornos prósperos y muy específicos, la presencia de fanales brillantes atrae todo tipo de mesofauna. Los investigadores usan esta flor para favorecer el asentamiento de abejas solitarias y así poder estudiarlas.","Como essas flores só nascem em ambientes muito específicos e prósperos, a presença de Farol-brilhante atrai todo tipo de mesofauna. Pesquisadores usam essa flor para estimular populações de abelhas solitárias para poder estudá-las.",「キラキラビーコン」は非常に特殊で豊かな環境でしか育たず、その存在はさまざまな中型動物類を引き付ける。研究者は孤独なハチの個体数の増加とその研究のために「キラキラビーコン」を使用している。,,,,
$flower18_effect,,This flower increases the chance of solitary bees visiting nearby.,XX,Cette fleur augmente les chances de voir apparaître des abeilles solitaires à proximité.,Questo fiore aumenta la possibilità di ricevere la visita di api solitarie.,"Diese Blume erhöht die Chance, dass Solitärbienen in der Nähe zu Besuch kommen.",Esta flor aumenta la probabilidad de visitas de abejas solitarias.,Essa flor aumenta a chance de visitas de abelhas solitárias na região.,孤独なハチが近くを飛ぶ可能性が上がる。,,,,
$flower19_species,,Flapjack,XX,Nymphalilas,Pinna di Campo,Kugelblüte,Alaposa,Panquequinha,フラップジャック,,,,
$flower19_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Flapus Jackus,XX,Pupa Apisa,Flapus Jackus,Flapus Jackus,Alapus Posus,Flapus Jackus,Flapus Jackus,,,,
$flower19_hint,,An ascendant of Apisa formed by the action of nearby Marsh Skippers,XX,Un descendant d'Apisa créé grâce aux Hespéries des marais à proximité.,"Un discendente dell'Apisa, formato dall'azione delle Saltapalude nelle vicinanze","Ein Variation der Apisa, die durch die Aktivität der nahe gelegenen Sumpfwellen-Schmetterlinge entstanden ist.",Una predecesora de Apisa que se forma por acción de las saltapantanos cercanas.,Uma evolução da Apisa formada pela ação de Pula-Brejo na região.,「ビー」系植物の優性形質で、ヌマチホッパーの働きで受粉に成功する。,,,,
$flower19_desc,,Flapjack does not occur naturally without human intervention and causes dangerous levels of overgrowth and mutation in nearby plants and flowers. The effect it has on other forms of life is worringly unknown.,XX,Le Nymphalilas n'apparaît pas naturellement sans intervention humaine et cause des niveaux dangereux de prolifération et de mutation dans les plantes et les fleurs avoisinantes. L'effet qu'il a sur les autres formes de vie est malheureusement inconnu.,Il Pinna di Campo non appare in natura senza l'intervento dell'uomo e causa livelli pericolosi di proliferazione e mutazione nelle piante e nei fiori circostanti. L'effetto sulle altre fonti di vita è al momento sconosciuto e ciò desta preoccupazione.,"Die Kugelblüte kommt in der Natur nicht ohne menschliches Zutun vor und verursacht ein gefährliches Maß an Überwucherung und Mutation bei Pflanzen und Blumen in der Nähe. Welche Auswirkungen es auf andere Lebensformen hat, ist nicht bekannt.",La alaposa no se da en la naturaleza: es producto de la intervención humana. Puede causar niveles peligrosos de crecimiento y mutaciones excesivas en las plantas y flores cercanas. Tenemos un desconocimiento preocupante sobre los efectos que causa en otras formas de vida.,Panquequinhas não nascem naturalmente sem intervenção humana e causam níveis perigosos de crescimento e mutação em plantas e flores próximas. O efeito que tem em outras formas de vida é preocupantemente desconhecido.,人の干渉なしで自然発生することはなく、周囲の植物に危険な過剰繁殖と突然変異をもたらす。他の生物に与える影響は恐るべきことに未知数である。,,,,
$flower19_effect,,This flower increases chance of cross-mutation of flowers nearby.,XX,Cette fleur augmente les chances de mutation croisée des fleurs voisines.,Questo fiore aumenta la possibilità di mutazione incrociata nei fiori vicini.,Diese Blume erhöht die Wahrscheinlichkeit der Kreuzung von Blumen in der Nähe.,Esta flor aumenta la probabilidad de mutaciones cruzadas en flores cercanas.,Essa flor aumenta a chance de mutação cruzada entre flores próximas.,近くの花同士で交雑変異が起こる可能性が上がる。,,,,
$flower20_species,,Ashthorn,XX,Épine cendrée,Spina Cenerea,Aschefackel,Cenícea,Espinerário,ハイスイソウ,,,,
$flower20_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Spina Cinis,XX,Spina Cinis,Spina Cinis,Spina Cinis,Spina Cinis,Spina Cinis,Spina Cinis,,,,
$flower20_hint,,An evolution of Pestia Alva formed by the action of nearby Faded Butterflies,XX,Une évolution de Pestia Alva due à la présence de papillons voilés à proximité.,Un'evoluzione del Pestia Alva formatasi per l'azione delle Farfalle Sfumate nelle vicinanze.,"Eine Entwicklung der Pestia Alva, die durch die Wirkung von Verblassten Schmetterlingen in der Nähe entstanden ist",Una evolución de Pestia Alva que se forma por acción de las mariposas fundidas cercanas.,Uma evolução de Pestia Alva formada pela ação de Borboletas Desvanecidas próximas.,ポイズンローズが進化したもので、イロアセチョウの働きで受粉に成功する。,,,,
$flower20_desc,,"Having absorbed pollutants from the Faded butterflies, Ashthorn is the single largest cause of stress to bee colonies in the botanical world; every Spring, beekeepers scour the Archipelago of burgeoning Ashthorn reeds.",XX,"Ayant absorbé les polluants des papillons voilés, l'Épine cendrée est la plus grande cause de stress pour les colonies d'abeilles dans le monde botanique. Chaque printemps, les apiculteurs débarrassent l'archipel des Épines cendrées bourgeonnantes.","Avendo assorbito le sostanze inquinanti delle Farfalle Sfumate, la Spina Cenerea è la maggior causa di stress per le colonie di api nel mondo botanico; ogni primavera, gli apicoltori setacciano l'Arcipelago per impedire ai canneti di questa specie di espandersi troppo.",Durch die Aufnahme von Schadstoffen durch die Verblassten Schmetterlinge ist die Aschefackel die größte Stressursache für Bienenvölker in der Pflanzenwelt; jeden Frühling durchforsten Imker die Insel nach aufkeimendem Aschefackeln.,"La cenícea absorbe las sustancias contaminantes de las mariposas fundidas, y es la mayor causa de estrés del mundo botánico para las colonias de abejas. Cada primavera, los apicultores rastrillan el archipiélago en busca de juncos de cenícea en flor.","Tendo absorvido os poluentes das borboletas Desvanecidas, a Espinerário é a maior causa de estresse para colônias de abelhas no mundo botânico; toda Primavera, apicultores varrem o Arquipélago atrás dos ramos de Espinho-cinza.",「ハイスイソウ」はウスイロチョウから汚染物質を吸収するため、植物界のミツバチ生態系にたいする最大のストレス要因となっている。養蜂家は毎年春に、諸島でぐんぐん伸びている「ハイスイソウ」を除去している。,,,,
$flower20_effect,,This flower decreases the stability of nearby hives drastically.,XX,Cette fleur diminue considérablement la stabilité des ruches environnantes.,Questo fiore diminuisce drasticamente la stabilità degli alveari vicini.,Diese Blume verringert die Stabilität der benachbarten Bienenstöcke drastisch.,Esta flor disminuye la estabilidad de las colmenas cercanas en gran medida.,Essa flor diminui drasticamente a estabilidade de colmeias próximas.,近くにある巣の安定性を著しく下げる。,,,,
$flower21_species,,Mothlight,XX,Veilleuse,Luce di Falena,Mottenlicht,Polácea,Luz-de-bruxa,モスライト,,,,
$flower21_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Lux Tinea,XX,Lux Tinea,Lux Tinea,Lux Tinea,Lux Tinea,Lux Tinea,Lux Tinea,,,,
$flower21_hint,,A branch of Lacuna formed by the action of nearby Masked Butterflies,XX,Une branche de Lacuna créée grâce aux papillons masqués à proximité.,Una branca del Lacuna formata dall'azione delle Farfalle Mascherate nelle vicinanze.,"Eine Form der Lacuna, die durch die Aktivität der Maskierten Schmetterlinge in der Nähe entstanden ist",Una ramificación de Lacuna que se forma por acción de las mariposas enmascaradas cercanas.,Uma ramificação de Lacuna formada pela ação de Borboletas Mascaradas na região.,ポンドシャインの系統を引いていて、マスクチョウの働きで受粉に成功する。,,,,
$flower21_desc,,"Each generation of children in the Archipelego quickly discover that this small flower can provide just enoughlight to read after bedtime, undetected - or so they think; many a family garden 'accidentally' contains this flower.",XX,Chaque nouvelle génération d'enfants dans l'archipel découvre rapidement que cette petite fleur offre juste assez de lumière pour lire après l'heure du coucher en toute discrétion. Ou c'est ce qu'ils pensent... De nombreux jardins familiaux recèlent « accidentellement » cette fleur.,Ogni nuova generazione di bambini dell'Arcipelago scopre rapidamente che questo fiorellino fornisce luce sufficiente per leggere dopo l'ora della nanna senza essere scoperti - o almeno è quello che credono; molti giardini familiari contengono 'accidentalmente' questo fiore.,"Jede Generation von Kindern auf der Insel entdeckt schnell, dass diese kleine Blume gerade genug Licht spendet, um nach der Schlafenszeit unbemerkt zu lesen - so denken sie zumindest; in so manchem Familiengarten findet sich diese Blume 'zufällig'.",Cada generación de niños del archipiélago descubre rápidamente que esta florcita puede proporcionar suficiente luz para leer de noche en la cama sin que los detecten... O eso creen. Muchas familias dejan crecer 'accidentalmente' a esta flor en sus jardín.,"Cada geração de crianças no Arquipélago rapidamente descobre que essa pequena flor provém luz o suficiente para uma leitura noturna, sem serem percebidas - ou pelo menos é o que elas acham; muitos jardins familiares 'acidentalmente' contém essa flor.",諸島の子どもたちは、遅かれ早かれ、このちいさな花があれば寝る前にも隠れて本を読めることに気づく。子どもたちは、どのおうちにも「偶然」この花が咲いていると思っているのだ。,,,,
$flower21_effect,,This flower increases amount of gifts left by visitors in habitats.,XX,Cette fleur augmente le nombre de cadeaux laissés par les visiteurs dans les habitats.,Questo fiore aumenta la quantità di doni lasciati dai visitatori negli habitat.,"Diese Blume erhöht die Anzahl der Geschenke, die von Besuchern in den Habitaten hinterlassen werden.",Esta flor aumenta la cantidad de regalos que dejan los visitantes en cada hábitat.,Essa flor aumenta o número de presentes deixados por visitantes nos habitats.,生息環境に訪れた種が贈り物を残していく可能性が上がる。,,,,
$flower22_species,,Royal Trumpet,XX,Trompette royale,Tromba Reale,Königstrompete,Trompeta real,Trombeta Real,ロイヤルトランペット,,,,
$flower22_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Tubae Regium ,XX,Tubae Regium,Tubae Regium,Tubae Regium,Tubae Regium ,Tubae Regium,Tubae Regium,,,,
$flower22_hint,,A germination of Stilla Mela formed by the action of nearby Glacial Butterflies,XX,Une germination de Stilla Mela créée grâce aux papillons Glacials à proximité.,Una germinazione dello Stilla Mela formato dall'azione delle Farfalle Glaciali nelle vicinanze.,"Eine Keimung von Stilla Mela, die durch die Wirkung von Gletscher-Schmetterlingen in der Nähe entstanden ist",Una variante de Stilla Mela que se forma por acción de las mariposas glaciales cercanas.,Uma germinação de Stilla Mela formada pela ação de Borboletas Glaciais na região.,ハニードロップの系統を引いていて、ヒョウガチョウの働きで受粉に成功する。,,,,
$flower22_desc,,"Considered blaspheme by some Islanders, Royal Trumpet has a remarkably viral form of pollen, infecting social hives, editing Queen pheromones and making it exponentially more efficient. ",XX,"Considérée comme un blasphème par certains insulaires, la Trompette royale possède une forme de pollen particulièrement virale, infectant les ruches sociales, modifiant les phéromones de la reine et la rendant beaucoup plus efficace.","Considerata blasfema da certi isolani, la Tromba Reale possiede una forma di polline particolarmente virale, che infetta gli alveari sociali, modificando i feromoni della Regina rendendola esponenzialmente più efficiente.","Die Königstrompete, die von einigen Inselbewohnern als Blasphemie angesehen wird, hat eine bemerkenswert virale Form von Pollen, die soziale Bienenstöcke infiziert, die Pheromone der Königin verändert und sie exponentiell effizienter macht.","Algunos isleños consideran que la trompeta real es un castigo: tiene una forma de polen notablemente viral que infecta colmenas sociales y modifica las feromonas de la reina, lo que las hace mucho más eficientes. ","Considerada uma blasfêmia por alguns habitantes, a Trombeta Real tem uma espécie extremamente viral de pólen, infectando colmeias sociais, editando os feromônios da Rainha e fazendo com que ela fique exponencialmente mais eficiente.",ロイヤルトランペットは神聖なるものへの冒とくだと考える島民もいる。花粉の形状がウイルスに酷似していて、社会的なハチの巣が感染すると女王バチのフェロモンが変異し、急激に生産性が上がるのだ。,,,,
$flower22_effect,,This flower automatically starts a new cycle of nearby hives.,XX,Cette fleur lance automatiquement un nouveau cycle chez les ruches à proximité.,Questo fiore lancia automaticamente un nuovo ciclo negli alveari vicini.,Mit dieser Blüte beginnt automatisch ein neuer Zyklus von Bienenstöcken in der Nähe.,Esta flor comienza automáticamente un nuevo ciclo en las colmenas cercanas.,Essa flor automaticamente começa um novo ciclo em colmeias próximas.,近くの巣で自動的に新しいサイクルが始まる。,,,,
$flower23_species,,Frostips,XX,Givrelin,Petalgelato,Frostturbine,Gelácea,Gelínea,フロスティップ,,,,
$flower23_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Flora Gelus,XX,Flora Gelus,Flora Gelus,Flora Gelus,Floris Gelus,Flora Gelus,Flora Gelus,,,,
$flower23_hint,,A bud of Gelus formed by the action of nearby Smoldering Butterflies,XX,"Un bourgeon de Gelus, créé grâce aux papillons embrasés à proximité.","Un bocciolo del Gelus, formato dall'azione delle Farfalle Fumanti nelle vicinanze.","Eine Gelus-Knospe, die durch die Wirkung von Schwelenden Schmetterlinge in der Nähe entstanden ist.",Una predecesora de Gelus que se forma por acción de las mariposas ardientes cercanas.,Uma variante da Gelus formada pela ação de Borboletas Chamejantes na região.,フロステリアのつぼみ。近くにいるイブシチョウの働きによって形成される。,,,,
$flower23_desc,,"Frostips nectar is one of the most energy dense liquids in the Archipelego; a Mainlander once tried to exploit it as an energy drink, until a cartel of scientists blockaded the Archipelego.",XX,"Le nectar de Givrelin est l'un des liquides les plus énergétiques de l'archipel. Un habitant du Continent a essayé de l'exploiter comme boisson énergétique, jusqu'à ce qu'un groupe de scientifiques fassent un blocus.","Il nettare di Petalgelato è uno dei liquidi più energetici dell'Arcipelago. Un abitante del Continente provò una volta a sfruttarlo come bibita energetica, prima che un cartello di scienziati boicottasse l'Arcipelago.","Frostturbinen-Nektar ist eine der energiereichsten Flüssigkeiten auf der Insel. Festlandbewohner versuchten einst, ihn als Energydrink zu nutzen, bis ein Kartell von Wissenschaftlern dies blockierte.","El néctar de la gelácea es uno de los líquidos más densos y energéticos del archipiélago. Una vez, una persona del continente intentó aprovecharse y usarlo como bebida energética, pero un cartel de científicos bloqueó el archipiélago.","O néctar de Gelíneas é um dos líquidos mais densos em energia no Arquipélago: certa vez, um morador do Continente tentou explorá-lo como um energético, até que um cartel de cientistas bloqueou o Arquipélago.",フロスティップのミツは諸島きってのエネルギー密度を誇る。研究者たちが諸島を封鎖するまでは、本島の民はこれを利用してエナジードリンクを製作しようとしていた。,,,,
$flower23_effect,,This flower increases productivity of hives drastically.,XX,Cette fleur augmente considérablement la productivité des ruches.,Questo fiore aumenta drasticamente la produttività degli alveari.,Diese Blume erhöht die Produktivität der Bienenstöcke drastisch.,Esta flor aumenta la productividad de las colmenas en gran medida.,Essa flor aumenta drasticamente a produção de colmeias.,巣の生産性を大幅に向上させる。,,,,
$book3_11_id,,Cross-mutation,XX,Mutation croisée,Mutazione incrociata,Kreuzmutationen,Mutación cruzada,Mutação Cruzada,交雑変異,,,,
$book3_11_page1_1,,You may have noticed some fluttering friends appearing round your flowers!,XX,Tu as peut-être remarqué quelques amis virevoltants autour de tes fleurs !,Avrai notato delle piccole amiche volteggiare attorno ai tuoi fiori!,"Vielleicht hast du schon bemerkt, dass um deine Blumen herum ein paar flatternde Freunde aufgetaucht sind!",Puede que hayas visto a unas amiguitas aleteando cerca de tus flores.,Você deve ter percebido algumas amigas esvoaçantes aparecendo perto de suas flores!,キミの花の近くをパタパタとお友だちが飛んでいるね！,,,,
$book3_11_page1_2,,"Butterflies are not only great company but great pollinators, helping to spread flowers similar to how bees do.",XX,"Les papillons sont non seulement d'excellente compagnie, mais aussi d'excellents pollinisateurs, contribuant à la propagation des fleurs, comme le font les abeilles.","Le farfalle non sono soltanto di eccellente compagnia, ma sono anche grandi impollinatrici, contribuendo alla propagazione dei fiori in modo simile alle api.","Schmetterlinge sind nicht nur eine tolle Gesellschaft, sondern auch großartige Bestäuber, die ähnlich wie Bienen zur Verbreitung von Blumen beitragen.","Las mariposas no solo son compañeras geniales; también son grandes polinizadoras y, al igual que las abejas, ayudan a que las flores se reproduzcan.","Borboletas não são apenas grandes companheiras, mas também grandes polinizadoras, ajudando a espalhar flores de maneira parecida com as abelhas.",チョウはお友だちでもあり、優秀な花粉媒介者でもある。ミツバチと同じように、花がはん栄するのを手助けしてくれるよ！,,,,
$book3_11_page2_1,,"When butterflies are in butterfly hotels, they can cause cross-mutation of their favourite flowers, leading to entirely new variants.",XX,"Quand les papillons sont dans un hôtel à papillons, ils peuvent entraîner la mutation croisée de leurs fleurs favorites, créant ainsi de toutes nouvelles variantes.","Quando le farfalle si trovano negli alberghi per farfalle, possono causare una mutazione incrociata dei loro fiori preferiti, portando a varianti del tutto nuove.","Wenn Schmetterlinge in einem Schmetterlingshotel sind, können sie eine Kreuzmutation ihrer Lieblingsblumen verursachen, die zu völlig neuen Varianten führt.","Cuando las mariposas están en un hotel para mariposas, pueden causar mutaciones cruzadas a sus flores favoritas, lo que puede dar lugar a variedades completamente nuevas.","Quando as borboletas estão em hotéis de borboletas, elas podem causar mutação cruzada de suas flores favoritas, gerando variantes completamente novas.",チョウはホテルにいる間、お気に入りの花を交雑変異させて、まったく新しい品種を生み出すことがあるよ。,,,,
$book3_11_page2_2,,"If you're interested in learning more about butterflies, head west and find Dr Sto!",XX,"Si tu veux en savoir plus sur les papillons, dirige-toi vers l'ouest et cherche Pr Sto !","Se ti interessa saperne di più sulle farfalle, vai a ovest e parla con la dottoressa Sto!","Wenn du mehr über Schmetterlinge erfahren möchtest, solltest du dich auf den Weg machen und Dr. Sto finden!","Si te interesa aprender más sobre las mariposas, ¡ve hacia el oeste y encuentra a la doctora Sto!","Se estiver atrás de aprender mais sobre borboletas, vá para o leste e encontre a Dra. Sto!",チョウについてもっと知りたかったら、東へ向かってストヘリット博士に聞いてみよう！,,,,
